,title,link
92,我们一起神翻译|10.18,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555886&idx=4&sn=9e4b9d00fd4e8a9e041e24da88e9efcb&chksm=f7ebcc63c09c4575ef89de47f75279ea1107632037722b6db66d0b8b21444f4c4b75f15b7a64#rd
93,每日一句|10.18,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555886&idx=5&sn=999382d6fbbe2832a10faf331bd3a393&chksm=f7ebcc63c09c4575ca5174835b8609bbf3ec7e9488f79765d75fd1788f3600b0918f45f4d0a6#rd
94,Gwen为你读诗——假如生活欺骗了你,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555822&idx=1&sn=9928d39c19efbe2d32f522f96d4299c7&chksm=f7ebcca3c09c45b5e33b461300b48e78b815acf0b8b055aa81f0ab6f98fdbf79953d2b885273#rd
95,10.17早读 | 我们注意力的状态决定了我们生活的状态,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555822&idx=2&sn=cadcdd0587e87d1656207b82cac121a6&chksm=f7ebcca3c09c45b59110a704e9d619580242a5403566c674acd50fa426b0ecc52a7fbc6eebb2#rd
96,每日听写飞鸟集|The Lake House06,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555822&idx=3&sn=d2ace8317906e3b74b21e72021864dd3&chksm=f7ebcca3c09c45b5f6ca67f197e62ed707754bd805149230dd30ab4526476ea0eff5f577409e#rd
97,听歌学英文| Love Is Gone,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555810&idx=1&sn=ae9202a5382f53fe872c52e3cf4d8a7d&chksm=f7ebccafc09c45b9d0f62d5b2720994a858faa4c73527904042f78f022f7dfc15dcd9557d580#rd
98,10.16早读 | 人在一瞬间决定自己的未来，但他们根本不知那一瞬间有多重要,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555810&idx=2&sn=a48470c24472a687ea7c9c235f060faa&chksm=f7ebccafc09c45b9b7a290f50e65abc2251d5ada9d97c626c4059442133d63985289a81c2772#rd
99,每日听写10.11-10.15高级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555810&idx=3&sn=aae471f3022d80cb4ce3b8ef974b1a22&chksm=f7ebccafc09c45b909d1a844c53259886f626ba022eb29fc54a273c63c915137de56e9109cee#rd
100,10.15早读 | 有才之士惺惺相惜，而平庸之辈会觉得他们威胁到了自己,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555788&idx=1&sn=902230208ac0af03dc3a32e64f5eae2e&chksm=f7ebcc81c09c4597a763c0c33d9bd9e603f90da6df494e04939ede670dbb49e50393f4940daa#rd
101,"""栽赃”、“陷害”用英语怎么说呢？",http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555788&idx=2&sn=fc0408cee5a0dc1ce7417b03d7dde994&chksm=f7ebcc81c09c45975e095144540f793134866caeed40110ee274036737f353cdd3f3740180dc#rd
102,每日听写|10.15,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555788&idx=3&sn=f856fc9bdc39d906e3d1f0a38e7f94c1&chksm=f7ebcc81c09c4597f2d978a61657aa7ad3baf8fa5d611238d73ae9550c7b2675d12a8b9c0050#rd
103,我们一起神翻译|10.15,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555788&idx=4&sn=06ce19d66c7ebf01c829b6aeb76a536d&chksm=f7ebcc81c09c45971865a82765565778d7e0eb3a695644f7b7957a2c1835da6f44f840007869#rd
104,每日一句|10.15,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555788&idx=5&sn=f3e0d1b3f5016f429a32bbf29f699f32&chksm=f7ebcc81c09c45976b9d27bc88574a85a97a61e891e8530cd04c6224a41e881aed1304dce8b8#rd
