No,title,link
91,桃李不言，下自成蹊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=2&sn=5b2286d830042fc9cc9985beebed76a2&chksm=f7ebce4bc09c475d6dd1b4b52cf76a6570b0c800e9c6d6444126b5872a4b1bbbd38809251051#rd
92,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
93,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
94,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
95,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
96,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
97,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
98,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
99,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
100,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
101,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
102,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
103,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
104,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
105,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
106,桃李不言，下自成蹊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=2&sn=5b2286d830042fc9cc9985beebed76a2&chksm=f7ebce4bc09c475d6dd1b4b52cf76a6570b0c800e9c6d6444126b5872a4b1bbbd38809251051#rd
107,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
108,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
109,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
110,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
111,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
112,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
113,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
114,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
115,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
116,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
117,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
118,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
119,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
120,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
121,桃李不言，下自成蹊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=2&sn=5b2286d830042fc9cc9985beebed76a2&chksm=f7ebce4bc09c475d6dd1b4b52cf76a6570b0c800e9c6d6444126b5872a4b1bbbd38809251051#rd
122,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
123,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
124,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
125,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
126,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
127,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
128,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
129,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
130,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
131,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
132,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
133,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
134,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
135,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
136,桃李不言，下自成蹊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=2&sn=5b2286d830042fc9cc9985beebed76a2&chksm=f7ebce4bc09c475d6dd1b4b52cf76a6570b0c800e9c6d6444126b5872a4b1bbbd38809251051#rd
137,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
138,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
139,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
140,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
141,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
142,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
143,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
144,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
145,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
146,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
147,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
148,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
149,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
150,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
151,桃李不言，下自成蹊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=2&sn=5b2286d830042fc9cc9985beebed76a2&chksm=f7ebce4bc09c475d6dd1b4b52cf76a6570b0c800e9c6d6444126b5872a4b1bbbd38809251051#rd
152,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
153,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
154,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
155,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
156,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
157,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
158,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
159,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
160,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
161,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
162,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
163,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
164,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
165,11.2早读 | 恐惧是思维的杀手，恐惧是带来毁灭的小小的死亡,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=1&sn=687106fdfe7da5adbdf3a7a037bbcc5b&chksm=f7ebce4bc09c475d7fc4b9be3d50ee3550a05aa018cc727449635c49295570cbfb8382984a32#rd
166,桃李不言，下自成蹊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=2&sn=5b2286d830042fc9cc9985beebed76a2&chksm=f7ebce4bc09c475d6dd1b4b52cf76a6570b0c800e9c6d6444126b5872a4b1bbbd38809251051#rd
167,每日听写|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=3&sn=be21d258e477bbac5acde335f3bfa17d&chksm=f7ebce4bc09c475d702e04f1a639f890a39defb6dccbf0b2135cd34d3b8cbae53cf4829f1a54#rd
168,我们一起神翻译|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=4&sn=1144fcf5ba0eaba293c4c1bcccf74429&chksm=f7ebce4bc09c475d04492daccdadd4ce1bb8376a98f8efa856bcb14a66fec05f63c19c43a37f#rd
169,每日一句|11.2,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556358&idx=5&sn=9c4f81c83d1dd3c7c7e1e403aa42c0e9&chksm=f7ebce4bc09c475dc672aed9e2d1443456ffbca0f7081ba29cd40aa22f34f080c4f8a1c84a22#rd
170,11.1早读 | 不抑郁并不意味着你没有在挣扎，不倦怠也不意味着你火力全开,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=1&sn=05e5cd2806499d63aab66dd480ffc09a&chksm=f7ebceafc09c47b94ef5275549a02ec2115ea7803886751ed8c2710769914dd31cce1426fbb1#rd
171,【老外说】你了解抑郁症吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=2&sn=e3ffe5d99083882e8868622fe57da601&chksm=f7ebceafc09c47b9858d1b1cef0adc50c4cfe86b02c9724a2c15e4243a4acbbb2f3dc4aadf73#rd
172,每日听写|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=3&sn=55861de7f615baad50f93e5cf6da3d57&chksm=f7ebceafc09c47b99aa84ce62297d64b0e257bc774d88c373e4c842804869a00572cdec9a9fe#rd
173,我们一起神翻译|11.1,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556322&idx=4&sn=897e328bf7be0062b606d821017b1b47&chksm=f7ebceafc09c47b98e3b16272188c7e70fbee05f6f9ab6fb2ff20001716fb19491a52f19f6af#rd
174,为你读诗——雪夜林畔小驻,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=1&sn=24b7339b5596e7648e99979ba45f6b12&chksm=f7ebced3c09c47c5aa9f28712ce29bb05ece6ebf8225776b4677fe6e1364f55d2fa20e4df6c4#rd
175,10.31早读 | 在你不敢踏足的洞穴里藏着你在寻找的宝藏,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=2&sn=a42cd2ec1c9570627266b42d889c5ea2&chksm=f7ebced3c09c47c5d5c7f3eb2e6eb230c6d6f4602ac374b30a5431ec3d9f1b0fc3e5939134ef#rd
176,每日听写飞鸟集|The Lake House08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556254&idx=3&sn=569057981967820ccd64453aea61455f&chksm=f7ebced3c09c47c5160004eabc7ce40cbf5595842d9c62b4b74a0d3314aad133b705ab21754c#rd
177,听歌学英文 | Wellerman,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=1&sn=77806fdcf2997ed1692617a0815f8d28&chksm=f7ebcedcc09c47ca41a7474c8cbad2f0fa6cac66c99344f9447881eea185330965f9cfaf979c#rd
178,10.30早读 | 当然，我也有过心情很坏的时候，不过一想起我笑起来有多萌，就瞬间被治愈啦！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=2&sn=9036fad428141fde63062054d771fe4d&chksm=f7ebcedcc09c47caca8172b7e6d5e1ed6d6b6ee64a0083fc4453b769766acb82dfe8eb57ca21#rd
179,每日听写10.25-10.29中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653556241&idx=3&sn=48162166bd48d7130f534d7691a7a528&chksm=f7ebcedcc09c47cab12abb9bf9c44ad409f0dd9e732c3dcea02db8cf999d2af5f4ce19f10ef5#rd
